method;train-function-calls;sum-wrong-classification;constraint-calls;metamodel-calls;fitness-function-calls;generations
SVCSlidingWeighted;330;231;24752;16450;22069;0
SVCSlidingWeighted;42;21;3145;2050;2903;0
SVCSlidingWeighted;124;83;9329;6150;8356;0
SVCSlidingWeighted;147;100;11057;7300;9906;0
SVCSlidingWeighted;40;23;3042;1950;2784;0
SVCSlidingWeighted;256;160;19079;12750;17016;0
SVCSlidingWeighted;45;33;3398;2200;3075;0
SVCSlidingWeighted;371;239;27765;18500;24820;0
SVCSlidingWeighted;157;82;11828;7800;10575;0
SVCSlidingWeighted;162;96;12166;8050;10927;0
SVCSlidingWeighted;83;52;6227;4100;5632;0
SVCSlidingWeighted;293;233;22065;14600;19591;0
SVCSlidingWeighted;7;2;536;300;525;0
SVCSlidingWeighted;199;114;14900;9900;13309;0
SVCSlidingWeighted;344;230;25776;17150;22858;0
SVCSlidingWeighted;267;190;20175;13300;18041;0
SVCSlidingWeighted;425;279;31831;21200;28207;0
SVCSlidingWeighted;33;16;2535;1600;2330;0
SVCSlidingWeighted;670;431;49964;33450;44248;0
SVCSlidingWeighted;85;58;6409;4200;5770;0
SVCSlidingWeighted;140;99;10502;6950;9378;0
SVCSlidingWeighted;117;73;8831;5800;7927;0
SVCSlidingWeighted;151;73;11302;7500;10204;0
SVCSlidingWeighted;164;132;12353;8150;11062;0
SVCSlidingWeighted;469;322;35144;23400;31278;0
SVCSlidingWeighted;401;292;30114;20000;26685;0
SVCSlidingWeighted;166;115;12463;8250;11132;0
SVCSlidingWeighted;87;66;6563;4300;5864;0
SVCSlidingWeighted;164;106;12416;8150;11113;0
SVCSlidingWeighted;466;301;34889;23250;30874;0
SVCSlidingWeighted;301;180;22550;15000;20226;0
SVCSlidingWeighted;133;77;10002;6600;8989;0
SVCSlidingWeighted;27;23;2060;1300;1848;0
SVCSlidingWeighted;103;66;7794;5100;7053;0
SVCSlidingWeighted;44;24;3287;2150;2999;0
SVCSlidingWeighted;241;164;18177;12000;16244;0
SVCSlidingWeighted;216;139;16246;10750;14525;0
SVCSlidingWeighted;81;30;6102;4000;5524;0
SVCSlidingWeighted;82;48;6169;4050;5541;0
SVCSlidingWeighted;112;87;8435;5550;7517;0
SVCSlidingWeighted;50;25;3792;2450;3434;0
SVCSlidingWeighted;89;57;6694;4400;6027;0
SVCSlidingWeighted;17;6;1292;800;1227;0
SVCSlidingWeighted;73;33;5475;3600;4933;0
SVCSlidingWeighted;97;49;7334;4800;6638;0
SVCSlidingWeighted;781;554;58532;39000;52019;0
SVCSlidingWeighted;404;276;30122;20150;26817;0
SVCSlidingWeighted;68;39;5100;3350;4587;0
SVCSlidingWeighted;215;168;16163;10700;14348;0
SVCSlidingWeighted;908;612;67819;45350;60007;0
SVCSlidingWeighted;102;64;7611;5050;6836;0
